,Stint,Vuelta,PitIn,TiempoParadaAc,TiempoStint,Vueltas,Piloto,TiempoPilotoAc,TiempoParada,PitOut,NumEquipo,Equipo
70,2,220,15068.0,303.0,7537.0,112,JON DEL VALLE,14916.0,151.77899932861328,15220.0,4,CVKS PATRINI
71,3,337,23123.0,455.0,7903.0,117,GERMAN SANCHEZ,7903.0,151.52199935913086,23275.0,4,CVKS PATRINI
72,4,452,31052.0,607.0,7776.0,115,GERMAN SANCHEZ,15680.0,151.9969997406006,31204.0,4,CVKS PATRINI
73,5,468,32299.0,759.0,1094.0,16,JUAN SANCHEZ,1094.0,151.67000007629395,32450.0,4,CVKS PATRINI
74,6,576,39794.0,910.0,7343.0,108,JUAN SANCHEZ,8438.0,151.70599937438965,39945.0,4,CVKS PATRINI
75,7,691,47730.0,1062.0,7784.0,115,JUAN SANCHEZ,16222.0,151.78700065612793,47881.0,4,CVKS PATRINI
76,8,707,48964.0,1213.0,1082.0,16,GERMAN SANCHEZ,16762.0,150.85400009155273,49115.0,4,CVKS PATRINI
77,9,824,56932.0,1364.0,7817.0,117,GERMAN SANCHEZ,24580.0,151.13500022888184,57084.0,4,CVKS PATRINI
78,10,835,57833.0,1515.0,749.0,11,JUAN SANCHEZ,16971.0,151.0639991760254,57984.0,4,CVKS PATRINI
79,11,950,65682.0,1667.0,7697.0,115,JUAN SANCHEZ,24669.0,151.4409999847412,65833.0,4,CVKS PATRINI
80,12,996,68918.0,1817.0,3084.0,46,JUAN SANCHEZ,27754.0,150.89200019836426,69069.0,4,CVKS PATRINI
81,13,1009,69944.0,1969.0,874.0,13,JON DEL VALLE,15791.0,151.11199951171875,70095.0,4,CVKS PATRINI
82,14,1020,70840.0,2120.0,744.0,11,JON DEL VALLE,16536.0,151.04199981689453,70991.0,4,CVKS PATRINI
83,15,1057,73482.0,2271.0,2491.0,37,JON DEL VALLE,19027.0,150.98600006103516,73633.0,4,CVKS PATRINI
84,16,1133,78729.0,2422.0,5095.0,76,JON DEL VALLE,24123.0,151.45100021362305,78880.0,4,CVKS PATRINI
85,17,1155,80361.0,2574.0,1480.0,22,GERMAN SANCHEZ,26061.0,151.5049991607666,80513.0,4,CVKS PATRINI
86,18,1166,81255.0,2725.0,741.0,11,JON DEL VALLE,24865.0,151.2140007019043,81406.0,4,CVKS PATRINI
